longname,glot_fam,81A,82A,83A,87A,88A,89A,92A,93A,nValues,97A,112A,116A,143A,143E,143F,143G,144A,144B,144D,144H,144I,144J,144K,26A,33A,37A,38A,51A,57A,69A,85A,86A,90A,90C,95A,96A,101A,144L,144P,144Q,144R,144S,70A,71A,132A,133A,134A,135A,14A,15A,16A,17A,142A,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,18A,19A,20A,21A,21B,28A,29A,35A,39A,40A,44A,48A,49A,50A,65A,66A,67A,68A,77A,78A,84A,91A,94A,98A,99A,100A,102A,103A,104A,107A,111A,113A,114A,121A,129A,130A,13A,22A,23A,24A,25A,25B,27A,30A,31A,32A,34A,36A,41A,42A,46A,47A,52A,53A,54A,55A,58A,58B,59A,60A,61A,62A,63A,64A,72A,73A,74A,75A,76A,79A,79B,80A,90B,105A,106A,108A,108B,109A,109B,110A,115A,117A,118A,119A,120A,122A,123A,124A,125A,126A,127A,128A,131A,136A,136B,137A,137B,144M,138A,39B,45A,56A,143B,144F,144E,139A,140A,143C,144O,144G,43A,144C,144T,144V,144W,144X,81B,10B,130B,144N,144U,90D,144Y,90E,141A,90F,143D,90G
TAP.GREATER_ALOR.ABUI_MAKADAI,Timor-Alor-Pantar,1,1,1,2,1,2,,2,-167,2,,,2,,1,,,,,,,,,,,,,,1,2,,1,1,1,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAP.GREATER_ALOR.ABUI_TAKALELANG,Timor-Alor-Pantar,1,1,1,2,1,2,,2,-167,2,,,2,,1,,,,,,,,,,,,,,1,2,,1,1,1,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP.NORTH_CENTRAL_BIRDS_HEAD.ABUN,Abun,2,1,2,2,2,2,2,2,-143,,,1,,1,1,,,,,,,,,1,,2,1,,,,2,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,2,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,2,,1,1,1,1,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
May.MAYAN.ACATECO_SAN_MIGUEL_ACATAN,Mayan,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.MALAYO_SUMBAWAN.ACEH,Austronesian,,,,2,2,1,,,-140,,,1,1,1,,,,,,,,,,1,,,,,,,2,2,1,1,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,2,2,2,,,,,,,,1,1,1,2,,,,,1,,,1,1,,,,,,,,,,,,2,1,,,2,1,2,,,,,,,,,,,,1,,1,1,2,,,1,1,1,1,1,,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arw.INLAND_NORTHERN_ARAWAKAN.ACHAGUA,Arawakan,2,1,2,2,,,,1,-160,,,,1,1,,,2,,2,,1,,,,2,,,,1,2,1,1,1,1,,,2,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST.BURMESE_LOLO.ACHANG,Sino-Tibetan,,1,1,,2,2,2,2,-171,,,1,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tup.TUPI_GUARANI.ACHE,Tupian,,,,,,,,,-173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESu.NILOTIC.ACHOLI,Nilotic,2,1,2,2,,2,,2,-163,,,,,1,1,,,,,,,,,,,,,,2,1,2,2,1,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESu.NILOTIC.ACHOLI_2,Nilotic,2,1,2,2,,2,,2,-163,,,,,1,1,,,,,,,,,,,,,,2,1,2,2,1,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiv.JIVAROAN.ACHUAR,Chicham,,,1,,,,,,-171,,1,2,,,2,,,,,,,,,2,,,,1,2,2,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hok.PALAIHNIHAN.ACHUMAWI,Palaihnihan,2,1,2,,,,,,-154,,,,1,1,,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,1,,1,2,,,1,,1,1,,,,,,,,,,1,,,,,,,2,2,,,,,,2,,2,,2,,2,1,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ker.KERESAN.ACOMA_KERES,Keresan,,1,,,1,,,,-113,,2,,,1,2,,,,,,,,,,2,,,,1,2,1,1,,,,,2,,,,,,1,2,,,,,,,,,,,2,,1,1,1,,1,,2,1,2,1,,1,,2,1,,1,1,2,,2,1,1,2,,2,,,2,,,1,1,,,,2,,2,,,,,,,,,1,1,1,2,,1,1,1,,,,1,1,,2,,,1,1,1,1,,,,,1,,2,1,2,,,,1,,,,1,,,,,,,1,1,1,1,1,,,1,,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAP.GREATER_ALOR.ADANG,Timor-Alor-Pantar,1,1,1,2,2,2,,2,-165,2,2,,,1,1,,,,,,,,,1,,2,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,
TAP.GREATER_ALOR.ADANG_PITUNG,Timor-Alor-Pantar,1,1,1,2,2,2,,2,-165,2,2,,,1,1,,,,,,,,,1,,2,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,
NC.KWA.ADIOUKROU,Atlantic-Congo,2,1,2,2,2,2,2,2,-163,,1,1,,,2,,,,,,,2,,,1,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN.CENTRAL_PAMA_NYUNGAN.ADNYAMATHANHA,Pama-Nyungan,,1,,1,,,,,-175,,2,,,,,,,,,,,,,2,,,,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.LAMPUNGIC.ADUMANIS_ULU_KOMERING,Austronesian,,,,,,,,,-183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWC.NORTHWEST_CAUCASIAN.ADYGHE,Abkhaz-Adyge,1,1,1,2,,,,,-171,2,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.OCEANIC.ADZERA,Austronesian,2,1,2,2,2,2,,2,-153,,1,,,2,1,,,,,,,,,,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,2,1,,2,2,1,1,1,,,1,,1,1,,,,,,,,,,2,,,,,,,,,1,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.BIU_MANDARA.AFADE,Afro-Asiatic,,,,,,,,,-175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,2,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AA.LOWLAND_EAST_CUSHITIC.AFAR,Afro-Asiatic,1,1,1,1,1,1,,,-164,1,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,,,,1,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA.LOWLAND_EAST_CUSHITIC.AFAR_2,Afro-Asiatic,1,1,1,1,1,1,,,-164,1,,,,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,,,,1,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE.GERMANIC.AFRIKAANS,Indo-European,,,,,,,,,-171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNG.EASTERN_HIGHLANDS.AGARABI,Nuclear_Trans_New_Guinea,1,1,1,1,,1,,,-167,1,,2,,,,,,,,,,,,,,,,1,1,2,,1,,,,,2,,,,,,,2,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.AGHEM_ISU,Atlantic-Congo,2,1,2,2,2,2,,,-163,,2,,,1,1,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.AGHEM_WEH,Atlantic-Congo,2,1,2,2,2,2,,,-163,,2,,,1,1,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
NC.BANTOID.AGHEM_WUM,Atlantic-Congo,2,1,2,2,2,2,,,-163,,2,,,1,1,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,2,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
TNG.AWJU_DUMUT.AGHU_2,Nuclear_Trans_New_Guinea,,,,,,,,,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSu.MORU_MAADI.AGI,Central_Sudanic,,1,,2,2,2,2,2,-160,,2,1,2,,1,,,,,,,,1,,2,1,,,2,2,1,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
IE.INDIC.AGRA_GUJARI,Indo-European,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An.GREATER_CENTRAL_PHILIPPINE.AGTA,Austronesian,,2,2,1,,1,1,1,-166,,,1,1,1,,,,,,,,,,2,,,,,2,,2,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
May.MAYAN.AGUACATEC,Mayan,,,,,,,,,-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May.MAYAN.AGUACATECO_AGUACATAN,Mayan,,,,,,,,,-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiv.JIVAROAN.AGUARUNA,Chicham,,,,,,,,,-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiv.JIVAROAN.AGUARUNA_2,Chicham,,,,,,,,,-179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDa.LEZGIC.AGUL,Nakh-Daghestanian,,,,,,,,,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDe.ATHAPASKAN.AHTNA,Athabaskan-Eyak-Tlingit,,,,,,,,,-174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt.TUNGUSIC.AIHUI_MANCHU,Tungusic,1,1,1,1,,,,,-148,1,1,2,,,2,,,,,,,,,2,2,,,1,,2,1,,,,1,,,,,,,2,,,,,,,,,,,,2,2,,2,2,1,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,1,2,,,,,,,,,,,,1,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
