taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,NG-NA,NG-ND,NG-NNum,NG-NRc,NA-ND,NA-NNum,NA-NRc,ND-NNum,ND-NRc,NNum-NRc
IE.CELTIC.GAELIC_SCOTTISH,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Tan.TANGKIC.GANGGALIDA,a,-,a,a,a,-,a,-,a,a,a,-,a,-,-,-,-,-,a,a,-,a,a,-,a,-,a,-
Tan.TANGKIC.GANGULIDA,a,-,a,a,a,-,a,-,a,a,a,-,a,-,-,-,-,-,a,a,-,a,a,-,a,-,a,-
Brs.BURUSHASKI.GANISH_HUNZA_BURUSHASKI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
An.OCEANIC.GAPAPAIWA,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,a,-,-,-,-,-,c
IE.INDIC.GARAM_CHISHMA_KHOWAR,a,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,-,-,b,-,-,-
Arw.CARIBBEAN_ARAWAKAN.GARIFUNA,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
ST.BODO_GARO.GARO,a,a,a,b,a,b,b,a,a,b,a,b,b,a,b,a,b,b,b,a,b,b,c,d,d,b,b,d
Tup.MONDE.GAVIAO_DO_RONDONIA,a,a,a,b,a,-,-,a,a,b,a,-,-,a,b,a,-,-,b,a,-,-,c,-,-,-,-,-
Ijo.IJOID.GBARAIN,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
Ijo.IJOID.GBARANMATU,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
CSu.KRESH.GBAYA,b,b,b,a,-,a,a,d,d,c,-,c,c,d,c,-,c,c,c,-,c,c,-,a,a,-,-,a
NC.GBAYA_MANZA_NGBAKA.GBAYA_MBODOMO,b,b,b,a,b,b,a,d,d,c,d,d,c,d,c,d,d,c,c,d,d,c,b,b,a,d,c,c
NC.GBAYA_MANZA_NGBAKA.GBEYA,b,b,b,a,b,b,a,d,d,c,d,d,c,d,c,d,d,c,c,d,d,c,b,b,a,d,c,c
ST.BURMESE_LOLO.GELANGHE_AKHA,a,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,d,d,d,d,d,d
Krt.KARTVELIAN.GEORGIAN,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
AA.SEMITIC.GETO,a,-,a,a,b,a,b,-,a,a,b,a,b,-,-,-,-,-,a,b,a,b,b,a,b,c,d,b
ST.BODIC.GHACHOK,a,a,a,a,a,b,b,a,a,a,a,b,b,a,a,a,b,b,a,a,b,b,a,b,b,b,b,d
NC.BANTOID.GIKUYU,b,b,b,b,b,-,a,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
NC.BANTOID.GIKUYU_2,b,b,b,b,b,-,a,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
IE.INDIC.GILGIT_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Niv.NIVKH.GILYAK,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
Niv.NIVKH.GILYAK_AMUR,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
Niv.NIVKH.GILYAK_EAST_SAKHALIN,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
Niv.NIVKH.GILYAK_NORTH_SAKHALIN,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
Niv.NIVKH.GILYAK_SOUTH_SAKHALIN,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
Niv.NIVKH.GILYAK_WEST_SAKHALIN,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
NDa.AVAR_ANDIC_TSEZIC.GODOBERI,a,-,a,a,a,a,-,-,a,a,a,a,-,-,-,-,-,-,a,a,a,-,a,a,-,a,-,-
AA.WEST_CHADIC.GOEMAI,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
IE.INDIC.GOHARABAD_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
NC.CROSS_RIVER.GOKANA,b,b,b,a,b,a,a,d,d,c,d,c,c,d,c,d,c,c,c,d,c,c,b,a,a,c,c,a
TNG.CHIMBU.GOLIN,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
An.OCEANIC.GRAND_COULI,-,-,-,-,-,-,-,d,d,c,d,c,c,d,c,d,c,c,c,d,c,c,b,a,a,c,c,a
IE.GREEK.GREEK,-,-,-,-,-,-,-,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
Tup.TUPI_GUARANI.GUAJAJARA,d,c,c,d,c,c,-,c,c,d,c,c,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
